Key,English,Arabic
ACHIEVEMENT_KILL_ATROX_NAME,Atrox,Atrox
ACHIEVEMENT_KILL_TIGAR_NAME,Tigar,Tigar
ACHIEVEMENT_KILL_MERAL_NAME,Meral,Meral
ACHIEVEMENT_KILL_KINGSTER_NAME,Kingster,Kingster
ACHIEVEMENT_KILL_CREPER_NAME,Creper,Creper
ACHIEVEMENT_KILL_NAGA_NAME,Naga,Naga
ACHIEVEMENT_KILL_DORIAN_NAME,Dorian,Dorian
ACHIEVEMENT_KILL_OKEAN_NAME,Okean,Okean
ACHIEVEMENT_KILL_KRAKEN_NAME,Kraken,Kraken
ACHIEVEMENT_KILL_DREADFIN_NAME,Dreadfin,Dreadfin
ACHIEVEMENT_KILL_DREADSCALE_NAME,Dreadscale,Dreadscale
ACHIEVEMENT_KILL_LUMINFIN_NAME,Luminfin,Luminfin
ACHIEVEMENT_KILL_REDMETEONYKER_NAME,Red Meteonyker,Red Meteonyker
ACHIEVEMENT_KILL_CAVEMANCHIEF_NAME,Caveman Chief,Caveman Chief
ACHIEVEMENT_KILL_TEMPLEGUARDIAN_NAME,Temple Guardian,Temple Guardian
ACHIEVEMENT_KILL_GREATKRAKEN_NAME,Great Kraken,Great Kraken
ACHIEVEMENT_KILL_PYRAMIDGUARDIAN_NAME,Pyramid Guardian,Pyramid Guardian
ACHIEVEMENT_KILL_CRYSTALDEVIL_NAME,Crystal Demon Lord,Crystal Demon Lord
ACHIEVEMENT_KILL_BEASTKINGKHAN_NAME,Beast King Khan,Beast King Khan
ACHIEVEMENT_KILL_SHADEKRITON_NAME,[Shade Lieutenant] Kriton,[Shade Lieutenant] Kriton
ACHIEVEMENT_KILL_PUPPETWOLF_NAME,Hundur Sharpfoot,Hundur Sharpfoot
ACHIEVEMENT_KILL_RYSENTRY_NAME,Samoset,Samoset
ACHIEVEMENT_KILL_RYGUARD_NAME,Kyouchish,Kyouchish
ACHIEVEMENT_KILL_RYARCHER_NAME,Kanonicus,Kanonicus
ACHIEVEMENT_KILL_RYMAGI_NAME,Mage Redcloud,Mage Redcloud
ACHIEVEMENT_KILL_RYWARRIOR_NAME,Taiaha,Taiaha
ACHIEVEMENT_KILL_SKELWOLF_NAME,Hellhound,Hellhound
ACHIEVEMENT_KILL_RYBARGA_NAME,Chief Keokuk,Chief Keokuk
ACHIEVEMENT_KILL_BEHEMOTH03_NAME,[God of Death] Demonic Ankou,[God of Death] Demonic Ankou
ACHIEVEMENT_KILL_AIBATT_LVL1,Aibatt Slayer 1,Aibatt Slayer 1
ACHIEVEMENT_KILL_AIBATT_LVL2,Aibatt Slayer 2,Aibatt Slayer 2
ACHIEVEMENT_KILL_AIBATT_LVL3,Aibatt Slayer 3,Aibatt Slayer 3
ACHIEVEMENT_KILL_AIBATT_LVL4,Aibatt Slayer 4,Aibatt Slayer 4
ACHIEVEMENT_KILL_AIBATT_LVL5,Aibatt Hunter,Aibatt Hunter
ACHIEVEMENT_KILL_MUSHPANG_LVL1,Mushpang Slayer 1,Mushpang Slayer 1
ACHIEVEMENT_KILL_MUSHPANG_LVL2,Mushpang Slayer 2,Mushpang Slayer 2
ACHIEVEMENT_KILL_MUSHPANG_LVL3,Mushpang Slayer 3,Mushpang Slayer 3
ACHIEVEMENT_KILL_MUSHPANG_LVL4,Mushpang Slayer 4,Mushpang Slayer 4
ACHIEVEMENT_KILL_MUSHPANG_LVL5,Mushpang Hunter,Mushpang Hunter
ACHIEVEMENT_KILL_BURUDENG_LVL1,Burudeng Slayer 1,Burudeng Slayer 1
ACHIEVEMENT_KILL_BURUDENG_LVL2,Burudeng Slayer 2,Burudeng Slayer 2
ACHIEVEMENT_KILL_BURUDENG_LVL3,Burudeng Slayer 3,Burudeng Slayer 3
ACHIEVEMENT_KILL_BURUDENG_LVL4,Burudeng Slayer 4,Burudeng Slayer 4
ACHIEVEMENT_KILL_BURUDENG_LVL5,Burudeng Hunter,Burudeng Hunter
ACHIEVEMENT_KILL_PUKEPUKE_LVL1,Pukepuke Slayer 1,Pukepuke Slayer 1
ACHIEVEMENT_KILL_PUKEPUKE_LVL2,Pukepuke Slayer 2,Pukepuke Slayer 2
ACHIEVEMENT_KILL_PUKEPUKE_LVL3,Pukepuke Slayer 3,Pukepuke Slayer 3
ACHIEVEMENT_KILL_PUKEPUKE_LVL4,Pukepuke Slayer 4,Pukepuke Slayer 4
ACHIEVEMENT_KILL_PUKEPUKE_LVL5,Pukepuke Hunter,Pukepuke Hunter
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL1,Peakyturtle Slayer 1,Peakyturtle Slayer 1
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL2,Peakyturtle Slayer 2,Peakyturtle Slayer 2
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL3,Peakyturtle Slayer 3,Peakyturtle Slayer 3
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL4,Peakyturtle Slayer 4,Peakyturtle Slayer 4
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL5,Peakyturtle Hunter,Peakyturtle Hunter
ACHIEVEMENT_KILL_DEMIAN_LVL1,Demian Slayer 1,Demian Slayer 1
ACHIEVEMENT_KILL_DEMIAN_LVL2,Demian Slayer 2,Demian Slayer 2
ACHIEVEMENT_KILL_DEMIAN_LVL3,Demian Slayer 3,Demian Slayer 3
ACHIEVEMENT_KILL_DEMIAN_LVL4,Demian Slayer 4,Demian Slayer 4
ACHIEVEMENT_KILL_DEMIAN_LVL5,Demian Hunter,Demian Hunter
ACHIEVEMENT_KILL_DORIDOMA_LVL1,Doridoma Slayer 1,Doridoma Slayer 1
ACHIEVEMENT_KILL_DORIDOMA_LVL2,Doridoma Slayer 2,Doridoma Slayer 2
ACHIEVEMENT_KILL_DORIDOMA_LVL3,Doridoma Slayer 3,Doridoma Slayer 3
ACHIEVEMENT_KILL_DORIDOMA_LVL4,Doridoma Slayer 4,Doridoma Slayer 4
ACHIEVEMENT_KILL_DORIDOMA_LVL5,Doridoma Hunter,Doridoma Hunter
ACHIEVEMENT_KILL_LAWOLF_LVL1,Lawolf Slayer 1,Lawolf Slayer 1
ACHIEVEMENT_KILL_LAWOLF_LVL2,Lawolf Slayer 2,Lawolf Slayer 2
ACHIEVEMENT_KILL_LAWOLF_LVL3,Lawolf Slayer 3,Lawolf Slayer 3
ACHIEVEMENT_KILL_LAWOLF_LVL4,Lawolf Slayer 4,Lawolf Slayer 4
ACHIEVEMENT_KILL_LAWOLF_LVL5,Lawolf Hunter,Lawolf Hunter
ACHIEVEMENT_KILL_FEFERN_LVL1,Fefern Slayer 1,Fefern Slayer 1
ACHIEVEMENT_KILL_FEFERN_LVL2,Fefern Slayer 2,Fefern Slayer 2
ACHIEVEMENT_KILL_FEFERN_LVL3,Fefern Slayer 3,Fefern Slayer 3
ACHIEVEMENT_KILL_FEFERN_LVL4,Fefern Slayer 4,Fefern Slayer 4
ACHIEVEMENT_KILL_FEFERN_LVL5,Fefern Hunter,Fefern Hunter
ACHIEVEMENT_KILL_NYANGNYANG_LVL1,Nyangnyang Slayer 1,Nyangnyang Slayer 1
ACHIEVEMENT_KILL_NYANGNYANG_LVL2,Nyangnyang Slayer 2,Nyangnyang Slayer 2
ACHIEVEMENT_KILL_NYANGNYANG_LVL3,Nyangnyang Slayer 3,Nyangnyang Slayer 3
ACHIEVEMENT_KILL_NYANGNYANG_LVL4,Nyangnyang Slayer 4,Nyangnyang Slayer 4
ACHIEVEMENT_KILL_NYANGNYANG_LVL5,Nyangnyang Hunter,Nyangnyang Hunter
ACHIEVEMENT_KILL_BANG_LVL1,Bang Slayer 1,Bang Slayer 1
ACHIEVEMENT_KILL_BANG_LVL2,Bang Slayer 2,Bang Slayer 2
ACHIEVEMENT_KILL_BANG_LVL3,Bang Slayer 3,Bang Slayer 3
ACHIEVEMENT_KILL_BANG_LVL4,Bang Slayer 4,Bang Slayer 4
ACHIEVEMENT_KILL_BANG_LVL5,Bang Hunter,Bang Hunter
ACHIEVEMENT_KILL_MOTHBEE_LVL1,Mothbee Slayer 1,Mothbee Slayer 1
ACHIEVEMENT_KILL_MOTHBEE_LVL2,Mothbee Slayer 2,Mothbee Slayer 2
ACHIEVEMENT_KILL_MOTHBEE_LVL3,Mothbee Slayer 3,Mothbee Slayer 3
ACHIEVEMENT_KILL_MOTHBEE_LVL4,Mothbee Slayer 4,Mothbee Slayer 4
ACHIEVEMENT_KILL_MOTHBEE_LVL5,Mothbee Hunter,Mothbee Hunter
ACHIEVEMENT_KILL_WAGSAAC_LVL1,Wagsaac Slayer 1,Wagsaac Slayer 1
ACHIEVEMENT_KILL_WAGSAAC_LVL2,Wagsaac Slayer 2,Wagsaac Slayer 2
ACHIEVEMENT_KILL_WAGSAAC_LVL3,Wagsaac Slayer 3,Wagsaac Slayer 3
ACHIEVEMENT_KILL_WAGSAAC_LVL4,Wagsaac Slayer 4,Wagsaac Slayer 4
ACHIEVEMENT_KILL_WAGSAAC_LVL5,Wagsaac Hunter,Wagsaac Hunter
ACHIEVEMENT_KILL_FLYBAT_LVL1,Flybat Slayer 1,Flybat Slayer 1
ACHIEVEMENT_KILL_FLYBAT_LVL2,Flybat Slayer 2,Flybat Slayer 2
ACHIEVEMENT_KILL_FLYBAT_LVL3,Flybat Slayer 3,Flybat Slayer 3
ACHIEVEMENT_KILL_FLYBAT_LVL4,Flybat Slayer 4,Flybat Slayer 4
ACHIEVEMENT_KILL_FLYBAT_LVL5,Flybat Hunter,Flybat Hunter
ACHIEVEMENT_KILL_MIA_LVL1,Mia Slayer 1,Mia Slayer 1
ACHIEVEMENT_KILL_MIA_LVL2,Mia Slayer 2,Mia Slayer 2
ACHIEVEMENT_KILL_MIA_LVL3,Mia Slayer 3,Mia Slayer 3
ACHIEVEMENT_KILL_MIA_LVL4,Mia Slayer 4,Mia Slayer 4
ACHIEVEMENT_KILL_MIA_LVL5,Mia Hunter,Mia Hunter
ACHIEVEMENT_KILL_MRPUMPKIN_LVL1,Mr. Pumpkin Slayer 1,Mr. Pumpkin Slayer 1
ACHIEVEMENT_KILL_MRPUMPKIN_LVL2,Mr. Pumpkin Slayer 2,Mr. Pumpkin Slayer 2
ACHIEVEMENT_KILL_MRPUMPKIN_LVL3,Mr. Pumpkin Slayer 3,Mr. Pumpkin Slayer 3
ACHIEVEMENT_KILL_MRPUMPKIN_LVL4,Mr. Pumpkin Slayer 4,Mr. Pumpkin Slayer 4
ACHIEVEMENT_KILL_MRPUMPKIN_LVL5,Mr. Pumpkin Hunter,Mr. Pumpkin Hunter
ACHIEVEMENT_KILL_REDMANTIS_LVL1,Redmantis Slayer 1,Redmantis Slayer 1
ACHIEVEMENT_KILL_REDMANTIS_LVL2,Redmantis Slayer 2,Redmantis Slayer 2
ACHIEVEMENT_KILL_REDMANTIS_LVL3,Redmantis Slayer 3,Redmantis Slayer 3
ACHIEVEMENT_KILL_REDMANTIS_LVL4,Redmantis Slayer 4,Redmantis Slayer 4
ACHIEVEMENT_KILL_REDMANTIS_LVL5,Redmantis Hunter,Redmantis Hunter
ACHIEVEMENT_KILL_ZENDROS_LVL1,Zendros Slayer 1,Zendros Slayer 1
ACHIEVEMENT_KILL_ZENDROS_LVL2,Zendros Slayer 2,Zendros Slayer 2
ACHIEVEMENT_KILL_ZENDROS_LVL3,Zendros Slayer 3,Zendros Slayer 3
ACHIEVEMENT_KILL_ZENDROS_LVL4,Zendros Slayer 4,Zendros Slayer 4
ACHIEVEMENT_KILL_ZENDROS_LVL5,Zendros Hunter,Zendros Hunter
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL1,Jack the Hammer Slayer 1,Jack the Hammer Slayer 1
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL2,Jack the Hammer Slayer 2,Jack the Hammer Slayer 2
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL3,Jack the Hammer Slayer 3,Jack the Hammer Slayer 3
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL4,Jack the Hammer Slayer 4,Jack the Hammer Slayer 4
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL5,Jack the Hammer Hunter,Jack the Hammer Hunter
ACHIEVEMENT_KILL_GIGGLEBOX_LVL1,Giggle Box Slayer 1,Giggle Box Slayer 1
ACHIEVEMENT_KILL_GIGGLEBOX_LVL2,Giggle Box Slayer 2,Giggle Box Slayer 2
ACHIEVEMENT_KILL_GIGGLEBOX_LVL3,Giggle Box Slayer 3,Giggle Box Slayer 3
ACHIEVEMENT_KILL_GIGGLEBOX_LVL4,Giggle Box Slayer 4,Giggle Box Slayer 4
ACHIEVEMENT_KILL_GIGGLEBOX_LVL5,Giggle Box Hunter,Giggle Box Hunter
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL1,Rock Muscle Slayer 1,Rock Muscle Slayer 1
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL2,Rock Muscle Slayer 2,Rock Muscle Slayer 2
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL3,Rock Muscle Slayer 3,Rock Muscle Slayer 3
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL4,Rock Muscle Slayer 4,Rock Muscle Slayer 4
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL5,Rock Muscle Hunter,Rock Muscle Hunter
ACHIEVEMENT_KILL_BUCROW_LVL1,Bucrow Slayer 1,Bucrow Slayer 1
ACHIEVEMENT_KILL_BUCROW_LVL2,Bucrow Slayer 2,Bucrow Slayer 2
ACHIEVEMENT_KILL_BUCROW_LVL3,Bucrow Slayer 3,Bucrow Slayer 3
ACHIEVEMENT_KILL_BUCROW_LVL4,Bucrow Slayer 4,Bucrow Slayer 4
ACHIEVEMENT_KILL_BUCROW_LVL5,Bucrow Hunter,Bucrow Hunter
ACHIEVEMENT_KILL_NEPARUBA_LVL1,Neparuba Slayer 1,Neparuba Slayer 1
ACHIEVEMENT_KILL_NEPARUBA_LVL2,Neparuba Slayer 2,Neparuba Slayer 2
ACHIEVEMENT_KILL_NEPARUBA_LVL3,Neparuba Slayer 3,Neparuba Slayer 3
ACHIEVEMENT_KILL_NEPARUBA_LVL4,Neparuba Slayer 4,Neparuba Slayer 4
ACHIEVEMENT_KILL_NEPARUBA_LVL5,Neparuba Hunter,Neparuba Hunter
ACHIEVEMENT_KILL_HOBO_LVL1,Hobo Slayer 1,Hobo Slayer 1
ACHIEVEMENT_KILL_HOBO_LVL2,Hobo Slayer 2,Hobo Slayer 2
ACHIEVEMENT_KILL_HOBO_LVL3,Hobo Slayer 3,Hobo Slayer 3
ACHIEVEMENT_KILL_HOBO_LVL4,Hobo Slayer 4,Hobo Slayer 4
ACHIEVEMENT_KILL_HOBO_LVL5,Hobo Hunter,Hobo Hunter
ACHIEVEMENT_KILL_DUMBBULL_LVL1,Dumbbull Slayer 1,Dumbbull Slayer 1
ACHIEVEMENT_KILL_DUMBBULL_LVL2,Dumbbull Slayer 2,Dumbbull Slayer 2
ACHIEVEMENT_KILL_DUMBBULL_LVL3,Dumbbull Slayer 3,Dumbbull Slayer 3
ACHIEVEMENT_KILL_DUMBBULL_LVL4,Dumbbull Slayer 4,Dumbbull Slayer 4
ACHIEVEMENT_KILL_DUMBBULL_LVL5,Dumbbull Hunter,Dumbbull Hunter
ACHIEVEMENT_KILL_TOTEMIA_LVL1,Totemia Slayer 1,Totemia Slayer 1
ACHIEVEMENT_KILL_TOTEMIA_LVL2,Totemia Slayer 2,Totemia Slayer 2
ACHIEVEMENT_KILL_TOTEMIA_LVL3,Totemia Slayer 3,Totemia Slayer 3
ACHIEVEMENT_KILL_TOTEMIA_LVL4,Totemia Slayer 4,Totemia Slayer 4
ACHIEVEMENT_KILL_TOTEMIA_LVL5,Totemia Hunter,Totemia Hunter
ACHIEVEMENT_KILL_CARDPUPPET_LVL1,Cardpuppet Slayer 1,Cardpuppet Slayer 1
ACHIEVEMENT_KILL_CARDPUPPET_LVL2,Cardpuppet Slayer 2,Cardpuppet Slayer 2
ACHIEVEMENT_KILL_CARDPUPPET_LVL3,Cardpuppet Slayer 3,Cardpuppet Slayer 3
ACHIEVEMENT_KILL_CARDPUPPET_LVL4,Cardpuppet Slayer 4,Cardpuppet Slayer 4
ACHIEVEMENT_KILL_CARDPUPPET_LVL5,Cardpuppet Hunter,Cardpuppet Hunter
ACHIEVEMENT_KILL_FLBYRIGEN_LVL1,Flybrigen Slayer 1,Flybrigen Slayer 1
ACHIEVEMENT_KILL_FLBYRIGEN_LVL2,Flybrigen Slayer 2,Flybrigen Slayer 2
ACHIEVEMENT_KILL_FLBYRIGEN_LVL3,Flybrigen Slayer 3,Flybrigen Slayer 3
ACHIEVEMENT_KILL_FLBYRIGEN_LVL4,Flybrigen Slayer 4,Flybrigen Slayer 4
ACHIEVEMENT_KILL_FLBYRIGEN_LVL5,Flybrigen Hunter,Flybrigen Hunter
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL1,Tombstone Bearer Slayer 1,Tombstone Bearer Slayer 1
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL2,Tombstone Bearer Slayer 2,Tombstone Bearer Slayer 2
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL3,Tombstone Bearer Slayer 3,Tombstone Bearer Slayer 3
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL4,Tombstone Bearer Slayer 4,Tombstone Bearer Slayer 4
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL5,Tombstone Bearer Hunter,Tombstone Bearer Hunter
ACHIEVEMENT_KILL_SCOPICON_LVL1,Scorpicon Slayer 1,Scorpicon Slayer 1
ACHIEVEMENT_KILL_SCOPICON_LVL2,Scorpicon Slayer 2,Scorpicon Slayer 2
ACHIEVEMENT_KILL_SCOPICON_LVL3,Scorpicon Slayer 3,Scorpicon Slayer 3
ACHIEVEMENT_KILL_SCOPICON_LVL4,Scorpicon Slayer 4,Scorpicon Slayer 4
ACHIEVEMENT_KILL_SCOPICON_LVL5,Scorpicon Hunter,Scorpicon Hunter
ACHIEVEMENT_KILL_BASQUE_LVL1,Basque Slayer 1,Basque Slayer 1
ACHIEVEMENT_KILL_BASQUE_LVL2,Basque Slayer 2,Basque Slayer 2
ACHIEVEMENT_KILL_BASQUE_LVL3,Basque Slayer 3,Basque Slayer 3
ACHIEVEMENT_KILL_BASQUE_LVL4,Basque Slayer 4,Basque Slayer 4
ACHIEVEMENT_KILL_BASQUE_LVL5,Basque Hunter,Basque Hunter
ACHIEVEMENT_KILL_PRANKSTER_LVL1,Prankster Slayer 1,Prankster Slayer 1
ACHIEVEMENT_KILL_PRANKSTER_LVL2,Prankster Slayer 2,Prankster Slayer 2
ACHIEVEMENT_KILL_PRANKSTER_LVL3,Prankster Slayer 3,Prankster Slayer 3
ACHIEVEMENT_KILL_PRANKSTER_LVL4,Prankster Slayer 4,Prankster Slayer 4
ACHIEVEMENT_KILL_PRANKSTER_LVL5,Prankster Hunter,Prankster Hunter
ACHIEVEMENT_KILL_ROCKEPELLER_LVL1,Rockepeller Slayer 1,Rockepeller Slayer 1
ACHIEVEMENT_KILL_ROCKEPELLER_LVL2,Rockepeller Slayer 2,Rockepeller Slayer 2
ACHIEVEMENT_KILL_ROCKEPELLER_LVL3,Rockepeller Slayer 3,Rockepeller Slayer 3
ACHIEVEMENT_KILL_ROCKEPELLER_LVL4,Rockepeller Slayer 4,Rockepeller Slayer 4
ACHIEVEMENT_KILL_ROCKEPELLER_LVL5,Rockepeller Hunter,Rockepeller Hunter
ACHIEVEMENT_KILL_WHEELEM_LVL1,Wheelem Slayer 1,Wheelem Slayer 1
ACHIEVEMENT_KILL_WHEELEM_LVL2,Wheelem Slayer 2,Wheelem Slayer 2
ACHIEVEMENT_KILL_WHEELEM_LVL3,Wheelem Slayer 3,Wheelem Slayer 3
ACHIEVEMENT_KILL_WHEELEM_LVL4,Wheelem Slayer 4,Wheelem Slayer 4
ACHIEVEMENT_KILL_WHEELEM_LVL5,Wheelem Hunter,Wheelem Hunter
ACHIEVEMENT_KILL_LEYENA_LVL1,Leyena Slayer 1,Leyena Slayer 1
ACHIEVEMENT_KILL_LEYENA_LVL2,Leyena Slayer 2,Leyena Slayer 2
ACHIEVEMENT_KILL_LEYENA_LVL3,Leyena Slayer 3,Leyena Slayer 3
ACHIEVEMENT_KILL_LEYENA_LVL4,Leyena Slayer 4,Leyena Slayer 4
ACHIEVEMENT_KILL_LEYENA_LVL5,Leyena Hunter,Leyena Hunter
ACHIEVEMENT_KILL_TRANGFOMA_LVL1,Trangfoma Slayer 1,Trangfoma Slayer 1
ACHIEVEMENT_KILL_TRANGFOMA_LVL2,Trangfoma Slayer 2,Trangfoma Slayer 2
ACHIEVEMENT_KILL_TRANGFOMA_LVL3,Trangfoma Slayer 3,Trangfoma Slayer 3
ACHIEVEMENT_KILL_TRANGFOMA_LVL4,Trangfoma Slayer 4,Trangfoma Slayer 4
ACHIEVEMENT_KILL_TRANGFOMA_LVL5,Trangfoma Hunter,Trangfoma Hunter
ACHIEVEMENT_KILL_STEAMWALKER_LVL1,Steam Walker Slayer 1,Steam Walker Slayer 1
ACHIEVEMENT_KILL_STEAMWALKER_LVL2,Steam Walker Slayer 2,Steam Walker Slayer 2
ACHIEVEMENT_KILL_STEAMWALKER_LVL3,Steam Walker Slayer 3,Steam Walker Slayer 3
ACHIEVEMENT_KILL_STEAMWALKER_LVL4,Steam Walker Slayer 4,Steam Walker Slayer 4
ACHIEVEMENT_KILL_STEAMWALKER_LVL5,Steam Walker Hunter,Steam Walker Hunter
ACHIEVEMENT_KILL_STEELKNIGHT_LVL1,Steel Knight Slayer 1,Steel Knight Slayer 1
